Year,Country,Country Code,Commodity Code,Objectives
1997,United States of America,USA,2,Food safety
2005,United States of America,USA,8609,Other
2005,United States of America,USA,1,Other
2005,United States of America,USA,8609,Other
2005,United States of America,USA,8609,Other
2005,United States of America,USA,1,Other
2007,Colombia,COL,201,Food safety
2007,Japan,JPN,106,Animal health
2007,Japan,JPN,106,Plant protection
2007,New Zealand,NZL,40640,Animal health
2007,New Zealand,NZL,40640,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,40640,Protect territory from other damage from pests
2007,New Zealand,NZL,40690,Animal health
2007,New Zealand,NZL,40690,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,40690,Protect territory from other damage from pests
2007,Indonesia,IDN,103,Animal health
2007,Indonesia,IDN,103,Protect territory from other damage from pests
2007,Indonesia,IDN,104,Animal health
2007,Indonesia,IDN,104,Protect territory from other damage from pests
2007,Indonesia,IDN,102,Animal health
2007,Indonesia,IDN,102,Protect territory from other damage from pests
2007,Indonesia,IDN,204,Animal health
2007,Indonesia,IDN,204,Protect territory from other damage from pests
2007,Indonesia,IDN,203,Animal health
2007,Indonesia,IDN,203,Protect territory from other damage from pests
2007,Indonesia,IDN,201,Animal health
2007,Indonesia,IDN,201,Protect territory from other damage from pests
2007,New Zealand,NZL,101,Animal health
2007,New Zealand,NZL,101,Animal health
2007,New Zealand,NZL,511,Animal health
2007,New Zealand,NZL,511,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,511,Protect territory from other damage from pests
2007,New Zealand,NZL,406,Animal health
2007,New Zealand,NZL,406,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,406,Protect territory from other damage from pests
2007,New Zealand,NZL,401,Animal health
2007,New Zealand,NZL,401,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,401,Protect territory from other damage from pests
2007,United States of America,USA,6,Plant protection
2007,United States of America,USA,7,Plant protection
2007,Brazil,BRA,60220,Plant protection
2007,Brazil,BRA,803,Plant protection
2007,Brazil,BRA,511,Animal health
2007,Albania,ALB,104,Food safety
2007,Albania,ALB,104,Animal health
2007,Albania,ALB,104,Protect humans from animal/plant pest or disease
2007,Albania,ALB,102,Food safety
2007,Albania,ALB,102,Animal health
2007,Albania,ALB,102,Protect humans from animal/plant pest or disease
2007,Albania,ALB,511,Food safety
2007,Albania,ALB,511,Animal health
2007,Albania,ALB,511,Protect humans from animal/plant pest or disease
2007,United States of America,USA,80550,Plant protection
2007,New Zealand,NZL,511,Animal health
2007,New Zealand,NZL,511,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,511,Protect territory from other damage from pests
2007,United States of America,USA,407,Food safety
2007,United States of America,USA,602,Plant protection
2007,India,IND,207,Food safety
2007,India,IND,207,Animal health
2007,India,IND,2309,Food safety
2007,India,IND,2309,Animal health
2007,India,IND,103,Food safety
2007,India,IND,103,Animal health
2007,India,IND,1063,Food safety
2007,India,IND,1063,Animal health
2007,India,IND,407,Food safety
2007,India,IND,407,Animal health
2007,India,IND,203,Food safety
2007,India,IND,203,Animal health
2007,India,IND,105,Food safety
2007,India,IND,105,Animal health
2007,India,IND,511,Food safety
2007,India,IND,511,Animal health
2007,Indonesia,IDN,103,Animal health
2007,Indonesia,IDN,103,Protect territory from other damage from pests
2007,Indonesia,IDN,104,Animal health
2007,Indonesia,IDN,104,Protect territory from other damage from pests
2007,Indonesia,IDN,102,Animal health
2007,Indonesia,IDN,102,Protect territory from other damage from pests
2007,Indonesia,IDN,204,Animal health
2007,Indonesia,IDN,204,Protect territory from other damage from pests
2007,Indonesia,IDN,203,Animal health
2007,Indonesia,IDN,203,Protect territory from other damage from pests
2007,Indonesia,IDN,201,Animal health
2007,Indonesia,IDN,201,Protect territory from other damage from pests
2007,Peru,PER,102,Animal health
2007,Peru,PER,103,Animal health
2007,Peru,PER,104,Animal health
2007,Peru,PER,511,Animal health
2007,Brazil,BRA,1,Animal health
2007,Brazil,BRA,1,Protect humans from animal/plant pest or disease
2007,Brazil,BRA,70700,Plant protection
2007,Brazil,BRA,70700,Protect territory from other damage from pests
2007,Brazil,BRA,70990,Plant protection
2007,Brazil,BRA,70990,Protect territory from other damage from pests
2007,Brazil,BRA,80711,Plant protection
2007,Brazil,BRA,80711,Protect territory from other damage from pests
2007,Albania,ALB,302,Food safety
2007,Albania,ALB,302,Animal health
2007,Albania,ALB,302,Protect humans from animal/plant pest or disease
2007,Philippines,PHL,204,Animal health
2007,Philippines,PHL,205,Animal health
2007,Philippines,PHL,1503,Animal health
2007,Philippines,PHL,160210,Animal health
2007,Philippines,PHL,51199,Animal health
2007,Philippines,PHL,51110,Animal health
2007,Philippines,PHL,160242,Animal health
2007,Philippines,PHL,503,Animal health
2007,Philippines,PHL,160249,Animal health
2007,Philippines,PHL,210,Animal health
2007,Philippines,PHL,502,Animal health
2007,Philippines,PHL,201,Animal health
2007,Philippines,PHL,206,Animal health
2007,Philippines,PHL,209,Animal health
2007,Philippines,PHL,160241,Animal health
2007,Philippines,PHL,103,Animal health
2007,Philippines,PHL,1501,Animal health
2007,Philippines,PHL,202,Animal health
2007,Philippines,PHL,1502,Animal health
2007,Philippines,PHL,101,Animal health
2007,Philippines,PHL,203,Animal health
2007,Philippines,PHL,504,Animal health
2007,Philippines,PHL,102,Animal health
2007,Philippines,PHL,151610,Animal health
2007,Philippines,PHL,160250,Animal health
2007,Philippines,PHL,1601,Animal health
2007,Philippines,PHL,104,Animal health
2007,Philippines,PHL,105,Animal health
2007,Philippines,PHL,207,Animal health
2007,Philippines,PHL,10511,Animal health
2007,Philippines,PHL,51199,Animal health
2007,Philippines,PHL,407,Animal health
2007,Canada,CAN,6,Plant protection
2007,Philippines,PHL,81340,Food safety
2007,Philippines,PHL,80430,Food safety
2007,Philippines,PHL,80430,Food safety
2007,Philippines,PHL,81340,Food safety
2007,Philippines,PHL,80450,Food safety
2007,Philippines,PHL,80450,Food safety
2007,Albania,ALB,104,Food safety
2007,Albania,ALB,104,Animal health
2007,Albania,ALB,104,Protect humans from animal/plant pest or disease
2007,Albania,ALB,102,Food safety
2007,Albania,ALB,102,Animal health
2007,Albania,ALB,102,Protect humans from animal/plant pest or disease
2007,Albania,ALB,511,Food safety
2007,Albania,ALB,511,Animal health
2007,Albania,ALB,511,Protect humans from animal/plant pest or disease
2007,United States of America,USA,407,Animal health
2007,United States of America,USA,104,Animal health
2007,United States of America,USA,201,Animal health
2007,United States of America,USA,204,Animal health
2007,United States of America,USA,102,Animal health
2007,Colombia,COL,203,Animal health
2007,Colombia,COL,103,Animal health
2007,Colombia,COL,20630,Animal health
2007,Chile,CHL,6,Plant protection
2007,Chile,CHL,12,Plant protection
2007,Mexico,MEX,1,Animal health
2007,Mexico,MEX,1,Protect humans from animal/plant pest or disease
2007,European Union,EEC,1502,Animal health
2007,European Union,EEC,1502,Protect humans from animal/plant pest or disease
2007,European Union,EEC,210,Animal health
2007,European Union,EEC,210,Protect humans from animal/plant pest or disease
2007,European Union,EEC,201,Animal health
2007,European Union,EEC,201,Protect humans from animal/plant pest or disease
2007,European Union,EEC,504,Animal health
2007,European Union,EEC,504,Protect humans from animal/plant pest or disease
2007,European Union,EEC,1601,Animal health
2007,European Union,EEC,1601,Protect humans from animal/plant pest or disease
2007,European Union,EEC,1602,Animal health
2007,European Union,EEC,1602,Protect humans from animal/plant pest or disease
2007,European Union,EEC,204,Animal health
2007,European Union,EEC,204,Protect humans from animal/plant pest or disease
2007,European Union,EEC,202,Animal health
2007,European Union,EEC,202,Protect humans from animal/plant pest or disease
2007,European Union,EEC,2309,Animal health
2007,European Union,EEC,2309,Protect humans from animal/plant pest or disease
2007,European Union,EEC,206,Animal health
2007,European Union,EEC,206,Protect humans from animal/plant pest or disease
2007,European Union,EEC,506,Animal health
2007,European Union,EEC,506,Protect humans from animal/plant pest or disease
2007,Colombia,COL,404,Food safety
2007,Colombia,COL,404,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,60290,Plant protection
2007,New Zealand,NZL,60290,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,60290,Protect territory from other damage from pests
2007,Philippines,PHL,101,Animal health
2007,Philippines,PHL,202,Food safety
2007,Philippines,PHL,202,Animal health
2007,Philippines,PHL,201,Food safety
2007,Philippines,PHL,201,Animal health
2007,Philippines,PHL,102,Food safety
2007,Philippines,PHL,102,Animal health
2007,Switzerland,CHE,7123,Food safety
2007,Switzerland,CHE,2102,Food safety
2007,Switzerland,CHE,15,Food safety
2007,Switzerland,CHE,9,Food safety
2007,Switzerland,CHE,9,Protect humans from animal/plant pest or disease
2007,Oman,OMN,2,Food safety
2007,Oman,OMN,3,Food safety
2007,Oman,OMN,4,Food safety
2007,Oman,OMN,6,Food safety
2007,Oman,OMN,7,Food safety
2007,Oman,OMN,8,Food safety
2007,United States of America,USA,81040,Plant protection
2007,Indonesia,IDN,301,Animal health
2007,Indonesia,IDN,301,Protect territory from other damage from pests
2007,Albania,ALB,103,Food safety
2007,Albania,ALB,103,Animal health
2007,Albania,ALB,103,Protect humans from animal/plant pest or disease
2007,Albania,ALB,203,Food safety
2007,Albania,ALB,203,Animal health
2007,Albania,ALB,203,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,301,Animal health
2007,New Zealand,NZL,301,Protect humans from animal/plant pest or disease
2007,New Zealand,NZL,301,Protect territory from other damage from pests
2007,India,IND,51110,Animal health
2007,European Union,EEC,1004,Food safety
2007,European Union,EEC,1004,Plant protection
2007,European Union,EEC,209,Food safety
2007,European Union,EEC,209,Plant protection
2007,European Union,EEC,1006,Food safety
2007,European Union,EEC,1006,Plant protection
2007,European Union,EEC,206,Food safety
2007,European Union,EEC,206,Plant protection
2007,European Union,EEC,1005,Food safety
2007,European Union,EEC,1005,Plant protection
2007,European Union,EEC,201,Food safety
2007,European Union,EEC,201,Plant protection
2007,European Union,EEC,210,Food safety
2007,European Union,EEC,210,Plant protection
2007,European Union,EEC,1002,Food safety
2007,European Union,EEC,1002,Plant protection
2007,European Union,EEC,208,Food safety
2007,European Union,EEC,208,Plant protection
2007,European Union,EEC,1007,Food safety
2007,European Union,EEC,1007,Plant protection
2007,European Union,EEC,205,Food safety
2007,European Union,EEC,205,Plant protection
2007,European Union,EEC,204,Food safety
2007,European Union,EEC,204,Plant protection
2007,European Union,EEC,203,Food safety
2007,European Union,EEC,203,Plant protection
2007,European Union,EEC,1008,Food safety
2007,European Union,EEC,1008,Plant protection
2007,European Union,EEC,207,Food safety
2007,European Union,EEC,207,Plant protection
2007,European Union,EEC,202,Food safety
2007,European Union,EEC,202,Plant protection
2007,European Union,EEC,1003,Food safety
2007,European Union,EEC,1003,Plant protection
2007,European Union,EEC,1001,Food safety
2007,European Union,EEC,1001,Plant protection
2007,Australia,AUS,6,Animal health
2007,Australia,AUS,6,Plant protection
2007,Australia,AUS,6,Protect territory from other damage from pests
2007,Australia,AUS,4,Animal health
2007,Australia,AUS,4,Plant protection
2007,Australia,AUS,4,Protect territory from other damage from pests
2007,Australia,AUS,2,Animal health
2007,Australia,AUS,2,Plant protection
2007,Australia,AUS,2,Protect territory from other damage from pests
2007,Australia,AUS,8,Animal health
2007,Australia,AUS,8,Plant protection
2007,Australia,AUS,8,Protect territory from other damage from pests
2007,Australia,AUS,7,Animal health
2007,Australia,AUS,7,Plant protection
2007,Australia,AUS,7,Protect territory from other damage from pests
2007,Albania,ALB,30193,Food safety
2007,Albania,ALB,30193,Animal health
2007,Albania,ALB,30193,Protect humans from animal/plant pest or disease
2007,Chinese Taipei,,713,Food safety
2007,Chinese Taipei,,708,Food safety
2007,Japan,JPN,1101,Food safety
2007,Japan,JPN,703,Food safety
2007,Japan,JPN,1214,Food safety
2007,Japan,JPN,802,Food safety
2007,Japan,JPN,202,Food safety
2007,Japan,JPN,206,Food safety
2007,Japan,JPN,709,Food safety
2007,Japan,JPN,1207,Food safety
2007,Japan,JPN,714,Food safety
2007,Japan,JPN,713,Food safety
2007,Japan,JPN,1008,Food safety
2007,Japan,JPN,1007,Food safety
2007,Japan,JPN,1202,Food safety
2007,Japan,JPN,910,Food safety
2007,Japan,JPN,1211,Food safety
2007,Japan,JPN,907,Food safety
2007,Japan,JPN,810,Food safety
2007,Japan,JPN,205,Food safety
2007,Japan,JPN,1002,Food safety
2007,Japan,JPN,704,Food safety
2007,Japan,JPN,705,Food safety
2007,Japan,JPN,407,Food safety
2007,Japan,JPN,905,Food safety
2007,Japan,JPN,203,Food safety
2007,Japan,JPN,814,Food safety
2007,Japan,JPN,1206,Food safety
2007,Japan,JPN,809,Food safety
2007,Japan,JPN,1204,Food safety
2007,Japan,JPN,208,Food safety
2007,Japan,JPN,808,Food safety
2007,Japan,JPN,408,Food safety
2007,Japan,JPN,804,Food safety
2007,Japan,JPN,706,Food safety
2007,Japan,JPN,204,Food safety
2007,Japan,JPN,401,Food safety
2007,Japan,JPN,811,Food safety
2007,Japan,JPN,209,Food safety
2007,Japan,JPN,1201,Food safety
2007,Japan,JPN,1006,Food safety
2007,Japan,JPN,207,Food safety
2007,Japan,JPN,801,Food safety
2007,Japan,JPN,908,Food safety
2007,Japan,JPN,909,Food safety
